source_class,target_class,is_hazard,risk_weight
air_conditioner,other,0,0.00
car_horn,car_horn,1,0.80
children_playing,other,0,0.00
dog_bark,other,0,0.00
drilling,construction,1,0.70
engine_idling,engine,1,0.50
gun_shot,impulse_bang,1,1.00
jackhammer,construction,1,0.70
siren,siren,1,1.00
street_music,music,0,0.00
airplane,engine,1,0.40
breathing,other,0,0.00
brushing_teeth,other,0,0.00
can_opening,other,0,0.00
cat,other,0,0.00
chainsaw,construction,1,0.70
chirping_birds,other,0,0.00
church_bells,other,0,0.00
clapping,other,0,0.00
clock_alarm,other,0,0.00
clock_tick,other,0,0.00
coughing,other,0,0.00
cow,other,0,0.00
crackling_fire,other,0,0.00
crickets,other,0,0.00
crow,other,0,0.00
crying_baby,other,0,0.00
dog,other,0,0.00
door_wood_creaks,other,0,0.00
door_wood_knock,other,0,0.00
drinking_sipping,other,0,0.00
engine,engine,1,0.50
fireworks,impulse_bang,1,0.60
footsteps,other,0,0.00
frog,other,0,0.00
glass_breaking,glass_breaking,1,0.90
hand_saw,construction,1,0.60
helicopter,engine,1,0.40
hen,other,0,0.00
insects,other,0,0.00
keyboard_typing,other,0,0.00
laughing,other,0,0.00
mouse_click,other,0,0.00
pig,other,0,0.00
pouring_water,other,0,0.00
rain,other,0,0.00
rooster,other,0,0.00
sea_waves,other,0,0.00
sheep,other,0,0.00
sneezing,other,0,0.00
snoring,other,0,0.00
thunderstorm,other,0,0.00
toilet_flush,other,0,0.00
train,engine,1,0.40
vacuum_cleaner,other,0,0.00
washing_machine,other,0,0.00
water_drops,other,0,0.00
wind,other,0,0.00
